Data,Ticker,Preco_Fechamento
2021-01-04,ABEV3.SA,11.15872859954834
2021-01-05,ABEV3.SA,11.3966064453125
2021-01-06,ABEV3.SA,11.627277374267578
2021-01-07,ABEV3.SA,11.569608688354492
2021-01-08,ABEV3.SA,11.915617942810059
2021-01-11,ABEV3.SA,11.605652809143066
2021-01-12,ABEV3.SA,12.110245704650879
2021-01-13,ABEV3.SA,11.656110763549805
2021-01-14,ABEV3.SA,11.776848793029785
2021-01-15,ABEV3.SA,11.552321434020996
2021-01-18,ABEV3.SA,11.747878074645996
2021-01-19,ABEV3.SA,11.78409194946289
2021-01-20,ABEV3.SA,11.603022575378418
2021-01-21,ABEV3.SA,11.306065559387207
2021-01-22,ABEV3.SA,10.972894668579102
2021-01-26,ABEV3.SA,11.15396499633789
2021-01-27,ABEV3.SA,11.15396499633789
2021-01-28,ABEV3.SA,11.255365371704102
2021-01-29,ABEV3.SA,10.943922996520996
2021-02-01,ABEV3.SA,11.298823356628418
2021-02-02,ABEV3.SA,11.306065559387207
2021-02-03,ABEV3.SA,11.356764793395996
2021-02-04,ABEV3.SA,11.298823356628418
2021-02-05,ABEV3.SA,11.240880012512207
2021-02-08,ABEV3.SA,10.820795059204102
2021-02-09,ABEV3.SA,10.835280418395996
2021-02-10,ABEV3.SA,10.87149429321289
2021-02-11,ABEV3.SA,10.828038215637207
2021-02-12,ABEV3.SA,10.712154388427734
2021-02-17,ABEV3.SA,11.059809684753418
2021-02-18,ABEV3.SA,10.712154388427734
2021-02-19,ABEV3.SA,10.78458023071289
2021-02-22,ABEV3.SA,10.560052871704102
2021-02-23,ABEV3.SA,10.639723777770996
2021-02-24,ABEV3.SA,10.632481575012207
2021-02-25,ABEV3.SA,10.284825325012207
2021-02-26,ABEV3.SA,10.154455184936523
2021-03-01,ABEV3.SA,9.973384857177734
2021-03-02,ABEV3.SA,10.132726669311523
2021-03-03,ABEV3.SA,10.263097763061523
2021-03-04,ABEV3.SA,10.704909324645996
2021-03-05,ABEV3.SA,10.922194480895996
2021-03-08,ABEV3.SA,10.639723777770996
2021-03-09,ABEV3.SA,10.980138778686523
2021-03-10,ABEV3.SA,11.059809684753418
2021-03-11,ABEV3.SA,10.929438591003418
2021-03-12,ABEV3.SA,10.885980606079102
2021-03-15,ABEV3.SA,11.081537246704102
2021-03-16,ABEV3.SA,10.900466918945312
2021-03-17,ABEV3.SA,11.168451309204102
2021-03-18,ABEV3.SA,11.081537246704102
2021-03-19,ABEV3.SA,11.298823356628418
2021-03-22,ABEV3.SA,11.255365371704102
2021-03-23,ABEV3.SA,10.922194480895996
2021-03-24,ABEV3.SA,10.719395637512207
2021-03-25,ABEV3.SA,10.857008934020996
2021-03-26,ABEV3.SA,10.972894668579102
2021-03-29,ABEV3.SA,11.081537246704102
2021-03-30,ABEV3.SA,11.291580200195312
2021-03-31,ABEV3.SA,11.074295043945312
